almond butter,n
almonds,n
apple cider,n
applesauce,n
apricots,n
artichokes,n
arugula,n
asparagus,n
bean sprouts,n
beet greens,n
beets,n
bell pepper green,n
black currants,n
blackberries,n
blood orange,n
blue agave,n
bok choy,n
boysenberries,n
brazil nuts,n
broccoli sprouts,n
butter lettuce,n
buttercup squash,n
butternut squash,n
cabbage,n
cacao nibs,n
cantaloupe,n
cape gooseberries,n
carrot juice,n
carrots,n
cashew butter,n
cherimoya,n
cherries,n
chicory root,n
chives,n
cilantro,n
clementines,n
coconut cream,n
coconut meat,n
coconut water,n
condensed milk,n
cranberry juice,n
cucumber,n
cucumber english,n
daikon radishes,n
dandelion greens,n
delicata squash,n
dragonfruit frozen,n
dried figs,n
eggplant,n
elderberries,n
endive,n
evaporated milk,n
fennel,n
figs,n
flaxseed milk,n
fresh basil,n
fresh dill,n
fresh oregano,n
fresh parsley,n
fresh sage,n
frisee,n
frozen blackberries,n
frozen broccoli,n
frozen cauliflower,n
frozen cherries,n
frozen coconut,n
frozen pineapple,n
garden cress,n
ginger ground,n
goji berries,n
golden beets,n
granny smith apple,n
granola,n
grapefruit,n
grapes,n
greek yogurt,n
green beans,n
green cauliflower,n
green onions,n
green tea,n
ground clove,n
guava,n
hazelnuts,n
hemp milk,n
honey,n
honeydew melon,n
jackfruit,n
jalapeno,n
jerusalem artichoke,n
jicama root,n
kalamata olives,n
kefir,n
kiwi,n
kohlrabi,n
kumquats,n
leaf lettuce,n
leek,n
lemongrass,n
loganberries,n
maca powder,n
macadamia nuts,n
maple syrup,n
matcha powder,n
mesclun,n
microgreens,n
mint,n
muesli,n
mustard greens,n
nectarines,n
nutritional yeast,n
oats,n
okra,n
orange,n
orange bell pepper,n
orange juice,n
papaya,n
parsnips,n
passionfruit,n
peaches canned,n
peanuts,n
pear apple,n
pears,n
peas snow,n
pepitas,n
persimmon,n
pineapple,n
pineapple frozen,n
pistachios,n
plantains,n
pomegranate,n
pomegranate juice,n
powdered milk,n
pumpkin,n
pumpkin pie spice,n
pumpkin puree,n
pumpkin seeds,n
purple cabbage,n
quince,n
radicchio,n
radish sprouts,n
radishes,n
rainbow chard,n
raw cashews,n
red bell pepper,n
red chard,n
red currants,n
red lettuce,n
rhubarb,n
romaine lettuce,n
saba bananas,n
sauerkraut,n
scallions,n
shiitake mushrooms,n
shredded coconut,n
soy milk,n
spirulina powder,n
sugar snap peas,n
summer squash,n
sunflower seeds,n
sunflower sprouts,n
sweet potatoes,n
swiss chard,n
tangerines,n
tarragon,n
tomatillo,n
tomatoes cherry,n
tomatoes grape,n
tomatoes vine,n
turnips,n
water chestnuts,n
watercress,n
watermelon,n
yellow bell pepper,n
yogurt,n
zucchini,n
almond milk,y
almorcoc,y
apple,y
apple cider vinegar,y
avocado,y
balsamic vinegar,y
bananas,y
blueberries,y
blueberries frozen,y
broccolini,y
cacao powder,y
cardamom ground,y
cauliflower,y
cayenne pepper,y
celery,y
celery seed,y
celtic sea salt,y
chia seeds,y
cinnamon ground,y
coconut milk,y
coconut milk can,y
coconut oil,y
coffee,y
coffee beans,y
collard greens,y
coriander ground,y
cremini mushrooms,y
cumin ground,y
dried basil,y
flaxseed ground,y
fresh rosemary,y
fresh thyme,y
frozen blueberries,y
frozen mixed berries,y
frozen peaches,y
ginger root,y
hemp seeds,y
ice cubes,y
kale,y
lavender,y
lemon,y
lime,y
mango,y
mango ataulfo,y
mango frozen,y
nutmeg ground,y
onion,y
paprika,y
peaches,y
peaches frozen,y
peanut butter,y
pecans,y
pine nuts,y
pink himalayan salt,y
plums,y
plums frozen,y
raspberries,y
raspberries frozen,y
red onion,y
spinach,y
spinach frozen,y
strawberries,y
strawberries frozen,y
tahini,y
tea,y
thyme fresh,y
turmeric ground,y
turmeric root,y
vanilla extract,y
walnuts,y